St. Edmund's Episcopal Church Outreach Program,40.849915,-73.908088,Elaine Bedminster,"718-466-9370, 347-828-6089",Pantry,1905 Morris Avenue,Bronx,NY,10453,closed,closed,closed,11:00AM-2:00PM,closed,closed,closed
Pentecostal Rescue House of Prayer,40.673914,-73.883204,Barbaroustine Glover Bishop Anderson,917-750-3657,Pantry,2415 Pitkin Avenue,Brooklyn,NY,11208,9:00-11:00AM,9:00 - 11:00 AM,closed,closed,closed,closed,closed
Mid-Bronx Food Pantry,40.83277,-73.920196,Robert Johnson,646-982-5134,Pantry,1125 Grand Concourse,Bronx,NY,10452,closed,10:00 AM - 01:00 PM,closed,10:00 AM - 01:00 PM,09:00 AM - 11:00 AM (Third Friday of the Month),closed,closed
Emanuel Pentecostal Faith Church,40.831604,-73.879748,Bishop Middleton,347-380-0555,Pantry,1310 Elder Avenue,Bronx,NY,10472,closed,closed,05:00 PM - 06:00 PM,closed,closed,closed,closed
Queens Faith Temple Outreach Center,40.68,-73.751824,Joan Thomas,917-603-9295,Pantry,217-03 Merrick Blvd,Springfield Gardens,NY,11413,-,-,-,-,-,-,2:00 PM - 4:00 PM
New Life Food & Clothing Pantry,40.737115,-73.881076,Ivan Castro,347-684-8703,Pantry,82-10 Queens Blvd,Elmhurst,NY,11373,-,6:00 PM - 8:00 PM,-,-,-,10:00 AM - 12:00 PM,-
Family Worship Center Church of God of Prophecy,40.822723,-73.81885,Imelda Reece,914-414 -2697,Pantry,3031 Cross Bronx Expressway Ext,Bronx,NY,10465,closed,closed,closed,closed,12:00 PM - 03:00 PM,closed,closed
Morrisania Revitalization Corp. Inc.,40.825565,-73.906898,Claudia Nisbett,718-589-7858 ext. 109,Pantry,576 East 165th Street,Bronx,NY,10456,12:30 PM - 3:00 PM,closed,12:30 PM - 3:00 PM,closed,12:30 PM - 3:00 PM,12:30 PM - 3:00 PM,closed
Bedford Central Presbyterian Church,40.676721,-73.949582,Bernice Layne,718-467-0740,Pantry,1200 Dean Street,Brooklyn,NY,11216,-,-,-,9:00 AM - 10:00 AM,-,-,-
Bronx Bethany Community Corporation,40.886531,-73.851798,Doreen Rutty/ Melanie,718-619-3480/RO-6/23- 646-418-2357,Pantry,964 East 227 Street,Bronx,NY,10466,-,-,9:00 AM - 11:00 AM,3:00 PM - 6:00 PM,-,-,-
First Presbyterian Church,40.696995,-73.993431,Jane Woland,917-754-6572,Pantry,124 Henry Street,Brooklyn,NY,11201,-,-,-,10:00 AM - 11:00 AM,-,-,-
Antioch Outreach,40.80651,-73.944246,Peggy Allen,917-974-8261,Pantry,41 West 124th Street,New York,NY,10024,closed,closed,closed,closed,closed,07:30 AM - 11:00 AM,closed
St. Cecilia's Gift of Love Food Pantry,40.719904,-73.941789,Mary Jane Del Vicario,718-387-0256,Pantry,23 Monitor Street,Brooklyn,NY,11222,closed,09:30 AM - 10:30 AM,closed,closed,closed,11:30 AM - 12:00 PM,closed
Fort Greene Hugh Gilroy Senior Center,40.67555,-73.92474,Leishanna Lawrence,718-290-4915,Pantry,447 Kingsborough 4th Walk,Brooklyn,NY,11233,-,10:00 AM - 12:00 PM,-,-,-,-,-
Fort Greene Council Hazel Brooks Neighborhood Ctr.,40.63898,-73.95871,Leishanna Lawrence,718-290-4915,Pantry,"961 Ocean Avenue, Lower Level",Brooklyn,NY,11226,-,-,10:00-2:00PM,-,closed,-,-
UJC Of the East Side,40.715845,-73.983082,Daniel Valentino,212-673-9328,Pantry,15-17 Bialystoker Place,New York,NY,10002,01:00 PM - 04:00 PM,01:00 PM - 04:00 PM,closed,01:00 PM - 04:00 PM,09:00 AM - 11:30 AM,closed,closed
Aishel Shabbat,40.607627,-73.962789,Silia Elmann,646- 229-1126,Pantry,1002 Quentin Rd,Brooklyn,NY,11223,08:00 PM - 10:00 PM,closed,closed,closed,closed,closed,closed
City of Faith Church of God,40.876867,-73.867255,Mavis Dehaney,718-798-3052,Pantry,3453 White Plains Road,Bronx,NY,10467,-,1:00 PM - 2:30 PM/RO-6/8-1pm-4pm,-,-,-,-,-
Community Services Housing Development Corp.,40.66901,-73.919821,Albion Liburd,718-568-4950,Pantry,547 Howard Avenue,Brooklyn,NY,11233,closed,closed,closed,10:00 AM - 12:00 PM,closed,closed,closed
St. George's Episcopal Church,40.686332,-73.947585,Sheila Leach- Holder,718-789-6036,Pantry,800 Marcy Avenue,Brooklyn,NY,11216,-,10:30 AM - 12:30 PM,-,-,-,-,-
Bronx Full Gospel Tabernacle Inc.,40.847999,-73.899464,Merrawattie Persaud,518-836-9906,Pantry,4221 Park Avenue,Bronx,NY,10457,closed,closed,closed,closed,closed,08:00 AM - 09:00 AM,closed
Murray Hill Neighborhood Association,40.761872,-73.812636,Ronald Mattioli,917-868-5765; 717-333-0827,Pantry,150-20 Barclay Avenue,Flushing,NY,11355,closed,closed,closed,closed,closed,11:00 AM - 12:30 PM,closed
Women's Housing and Economic Development Corp.,40.83648,-73.919036,Doxene Roberts,718-839-1133,Pantry,50 East 168th Street,Bronx,NY,10452,-,-,9:30 AM - 10:30 AM,-,-,-,-
Atonement Lutheran Church,40.760008,-73.881275,Jeremy Reinstein,718-639-6074,Pantry,30-61 87th Street,East Elmhurst,NY,11369,closed,closed,closed,8:00-9:00AM,closed,,closed
Queens Tabernacle Church,40.702655,-73.743906,Isadora Gibbs,973-223-1836,Pantry,114-03 Colfax Street,Cambria Heights,NY,11411,closed,closed,closed,closed,closed,09:30 AM - 01:00 PM,closed
Broadway Community Inc.,40.806905,-73.965058,Michael B. Ennes,"212-864-6100 ext.123, or ext. 0",Soup Kitchen,601 West 114th Street,New York,NY,10025,12:30 PM - 02:00 PM,closed,12:30 PM - 02:00 PM,closed,12:30 PM - 2:00 PM,#####,closed
"In The Beginning Outreach, Inc.",40.703306,-73.767368,Darlene Joiner,516-303-5202,Pantry,189-13 Liberty Ave,St. Albans,NY,11412,closed,closed,1:00PM - 2:30 PM,closed,closed,closed,closed
Staten Island Liberian Community,40.614693,-74.081862,Uray W. Pritchard,347-938-6721,Pantry,180 Park Hill Avenue,Staten Island,NY,10304,closed,closed,3pm-6pm,closed,closed,closed,closed
Holy Ghost Upper Room Filing Station Ministry Inc.,40.668765,-73.791976,Pastor Johnson,718-791-1183,Pantry,146-17 133rd Avenue,Jamaica,NY,11436,closed,closed,closed,closed,closed,09:30 AM - 11:30 AM,closed
Calvary's Mission,40.69321,-73.843564,Kevin Sookdeo,646-427-0956,Pantry,102-16 89th Avenue,Richmond Hill,NY,11418,closed,closed,closed,closed,closed,07:00 AM - 10:00 AM/RO-6/8-7am-11am,closed
Flushing Jewish Community Council,40.757888,-73.794473,Paul Engel,718-463-0434,Pantry,171-39 Northern Blvd,Flushing,NY,11358,closed,10:30 PM - 03:00 PM,closed,closed,closed,closed,closed
World Restoration Center,40.673139,-73.886215,Cherese Owhe,516-385-5936,Pantry,2324 Pitkin Avenue,Brooklyn,NY,11208,closed,10am-2pm,closed,closed,closed,closed,closed
Jan Hus Homeless Outreach and Advocacy Program,40.79076,-73.946556,Shaun Kennedy,212-288-6743 x3,Pantry,161 East 104th Street,New York,NY,10029,closed,closed,09:00 AM - 01:00 PM,closed,09:00 AM - 01:00 PM,closed,closed
Genesis Transitional Housing Ministries Inc.,40.706525,-73.762367,Andre Broady,917-567-5745,Pantry,195-12 Hollis Avenue,St. Albans,NY,11412,closed,closed,closed,closed,09:00 AM - 12:30 PM/RO6/9-9am-1pm,closed,closed
Greenpoint Reformed Church,40.729266,-73.95498,Joan Benefiel,646-653-3831,Pantry,136 Milton Street,Brooklyn,NY,11222,closed,closed,6-7pm,04:00 PM - 07:00 PM,closed,closed,closed
Gospel Assembly Food Pantry,40.703575,-73.76686,Louis Pierre,917-868-7032; 516-355-1145,Pantry,109-14 Farmers Boulevard,Jamaica,NY,11412,closed,07:00 PM - 09:00 PM,closed,07:00 PM - 09:00 PM,closed,10:00 AM - 12:00 PM,closed
Jamaica Hispanic SDA Church,40.707349,-73.800778,Maritza Villacis,718-736-5291,Pantry,88-28 161 Street,Jamaica,NY,11432,closed,closed,closed,closed,closed,closed,08:00AM - 9:00AM
St. Joseph Roman Catholic Church,40.762916,-73.912226,Marlene Kaselis,718-757-7161,Pantry,28-47 43rd Street,Astoria,NY,11103,closed,closed,closed,08:00 AM - 10:00 AM,closed,closed,closed
"Admirable Church, Inc.",40.623143,-73.937677,Merianne Domingue,347-779-7192,Pantry,1910 Flatbush Avenue,Brooklyn,NY,11210,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
"Manna of Life Ministries, Inc.",40.827517,-73.904891,Mirna Cruz,347-577-5788; 917-294-4080,Soup Kitchen,1101 Boston rd.,Bronx,NY,10459,closed,closed,closed,closed,closed,09:00 AM - 01:00 PM,closed
"Manna of Life Ministries, Inc.",40.827517,-73.904891,Mirna Cruz,347-577-5788,Pantry,1101 Boston Rd.,Bronx,NY,10459,closed,closed,11:00 AM - 01:00 PM (by appointment),11:00 AM - 01:00 PM (by appointment),closed,11:00 AM - 01:00 PM (by appointment),closed
Winner's Chapel Inc.,40.669175,-73.782499,Judy/Bishop Peter Kpopharo,347-998-1531; 718-344-0156,Pantry,153-56 Rockaway Blvd,Jamaica,NY,11434,closed,closed,closed,closed,closed,12:00 PM - 02:00 PM/RO6/92-4p,closed
Holding Hands Ministries,40.634782,-74.014115,Linda Obeda,347-779-4579,Pantry,6324 7th Avenue,Brooklyn,NY,11220,closed,closed,closed,closed,closed,09:00 AM - 12:30 PM,closed
Mt. Zion Church of God 7th Day,40.652167,-73.94277,Roslyn Murrell,646-287-0749,Pantry,203 East 37th Street,Brooklyn,NY,11203,closed,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM
Children of the Light International Ministry Inc.,40.642238,-73.901804,Pastor Maureen Rush,347-794-4130,Pantry,1171 East 95th Street,Brooklyn,NY,11236,10:00 AM - 04:00 PM,closed,10:00 AM - 04:00 PM,closed,12:00 PM - 06:00 PM,10:00 AM - 02:00 PM,closed
BronxWorks-Morris Senior Center,40.855034,-73.904311,Rosalina Luongo,718-933-5300,Pantry,80 East 181st Street,Bronx,NY,10453,10:00AM-2:00PM,10:00AM-2:00PM,10:00AM-2:00PM,10:00AM-2:00PM,10:00AM-2:00PM,closed,closed
BronxWorks Heights Senior Center,40.851869,-73.917099,Maria Rivera,646-988-3606 (cell),Pantry,200 West Tremont Avenue,Bronx,NY,10453,closed,closed,closed,9:00AM - 1:00PM,closed,closed,closed
Bronx Works The Living Room,40.81682,-73.889819,Frank Walrond,646-334-3561 (cell),Soup Kitchen,800 Barretto Street,Bronx,NY,10474,08:30 AM - 09:30 AM,08:30 AM - 09:30 AM,01:30 PM - 02:20 PM,08:30 AM - 09:30 AM,08:30 AM - 09:30 AM,08:30 AM - 09:30 AM,08:30 AM - 09:30 AM
Resurrection and Life Pentecostal Church,40.821518,-73.899285,Moses Oladosu,347-737-7002,Pantry,870 East 163rd Street,Bronx,NY,10459,closed,12:00 PM - 01:00 PM,closed,closed,closed,10:00AM - 2:00PM,01:00 PM - 02:00 PM
Hour Children Community Outreach,40.759929,-73.940527,Kellie Phelan,857-247-8813,Pantry,36-49 11th Street,Long Island City,NY,11106,02:00 PM - 04:00 PM,10:30 AM - 12:30 PM,closed,03:00 PM - 05:00 PM,closed,closed,closed
Evangelical Church Christ is the Light,40.741124,-73.874884,Sara Manus,347-742-7614,Pantry,89-16 48th Avenue,Elmhurst,NY,11373,closed,closed,closed,closed,09:00 AM - 11:00 AM,closed,closed
Walk In Love Family Center,40.720483,-73.72966,Donna Hines,347-563-8842,Pantry,202-11 Jamaica Avenue,Queens Village,NY,11429,closed,closed,1:00PM - 03:00 PM,05:30 PM - 07:00 PM,closed,closed,03:00 PM - 04:00 PM
First Presbyterian Russell Sage,40.609543,-73.746165,Claudia Milton,718-909-5953,Pantry,896 Central Avenue,Far Rockaway,NY,11691,closed,closed,closed,closed,closed,09:00 AM - 10:30 AM,closed
Haber House Senior Center,40.572928,-73.990794,Marina Davydov,718-372-5775,Pantry,3024 West 24th Street,Brooklyn,NY,11224,9:00 AM - 02:00 PM (by appointment only),closed,9:00 AM - 02:00 PM (by appointment only),closed,9:00 AM - 02:00 PM (by appointment only),closed,closed
SCAN Mullaly Academy,40.830376,-73.923949,Warren McDowell,212 951-0995,Pantry,40 E 164th St,Bronx,NY,10452,closed,closed,closed,2:00 PM - 4:00 PM,closed,closed,closed
Cabrini Immigrant Services,40.713422,-73.990744,Jo Lee,203-807-0166,Pantry,139 Henry Street,New York,NY,10002,closed,09:30 AM - 12:30 PM,closed,closed,closed,closed,closed
Thurston Memorial Oureach Ministries,40.687749,-73.91469,Mildred Rogers / Vicky Walker,718-452-3646,Pantry,1243 Bushwick Avenue,Brooklyn,NY,11221,closed,closed,closed,closed,05:00 PM - 07:30 PM,closed,closed
Thurston Memorial Outreach Ministries,40.687749,-73.91469,Mildred Rogers / Vicky Walker,718-452-3646,Soup Kitchen,1243 Bushwick Avenue,Brooklyn,NY,11221,closed,closed,closed,closed,05:00 PM - 07:30 PM,closed,closed
Gospel Tabernacle Church of Jesus Christ Inc.,40.648571,-73.955122,Cynthia Green,917-284-7894,Pantry,2314 Snyder Avenue,Brooklyn,NY,11226,closed,closed,closed,closed,closed,10:00 AM - 01:00 PM,closed
Kehilat Sephardim of Ahavat Achim,40.721092,-73.811572,Rabbi Shlomo Nisanov,718-591-9574,Pantry,150-62 78th Road,Flushing,NY,11367,10:00 AM - 02:00 PM,closed,10:00 AM - 02:00 PM,closed,closed,closed,10:00 AM - 04:00 PM
Iglesia Alianza Cristiana Misionera Ebenezer,40.745646,-73.926866,Maria,718-681-8659 (home); 718-207-6859 (cell),Pantry,43-02 38th Street,Long Island City,NY,11101,closed,closed,closed,closed,closed,8:00 AM - 01:00 PM,closed
Infinity Bible Church,40.83266,-73.875224,Ernestine Walker / Mr. Fletcher,917-902-5140; 646-251-8497,Pantry,1326 Morrison Avenue,Bronx,NY,10472,closed,closed,closed,closed,closed,10:00 AM - 01:00 PM,closed
Bailey House Inc. Adult & Family,40.802853,-73.940342,Maryse Dezulmut,929-290-3969,Pantry,1751 Park Avenue,New York,NY,10035,closed,closed,01:00 PM - 04:00 PM,closed,closed,closed,closed
Hannah Kosher Food Shabbat Foundation,40.601611,-73.950528,Aaron Zarzar,929-427-1065,Pantry,2102 Avenue T,Brooklyn,NY,11229,-,10:00 AM - 12:00 PM,-,-,-,-,-
Church of God Seventh Day Pentecostal,40.674555,-73.941549,Lael Tikili,718-693-7968,Pantry,922 St Marks Avenue,Brooklyn,NY,11213,closed,04:00 PM - 06:30 PM,closed,closed,closed,closed,closed
Brooks Memorial UMC,40.68854,-73.803086,Sharon Goodwin,646-221-3890,Pantry,143-22 109th Avenue,Jamaica,NY,11435,closed,closed,closed,11:00 AM - 2:00 PM,closed,closed,closed
Harvest of Souls,40.80633,-73.941642,Terry Randolph,845-464-2871,Pantry,13-15 East 125th Street,New York,NY,10035,closed,closed,closed,closed,10:00AM - 12:00PM,closed,closed
Church of St. Mark,40.668735,-73.944655,Beverly Smith-Hutson,718-756-6607,Pantry,1417 Union Street,Brooklyn,NY,11213,closed,closed,closed,closed,12:00 PM - 3:00 PM,closed,closed
New Hope Family Worship,40.665988,-73.886516,Phyllis Alberty / Veronica John,929-319-8529,Pantry,817 Livonia Avenue,Brooklyn,NY,11207,closed,closed,closed,closed,closed,10:00 AM - 2:00PM,closed
Harlem Dowling West Side Center,40.810023,-73.947229,Wanda Collington,212-749-3656 ext 370; 718-312-9558,Pantry,2139 Adam Clayton Powell Jr Boulevard,New York,NY,10027,closed,closed,closed,closed,12:00 PM - 02:00 PM,closed,closed
St. Peter's Love Kitchen Pantry,40.838711,-73.843946,Cheryl Seeley,718-931-9270 (pls call this number first) 917-301-3356 (this number only for emergency calls),Pantry,2500 Westchester Avenue,Bronx,NY,10461,-,10:00 AM - 12:00 PM,-,-,-,-,-
The House of David Church,40.663146,-73.886324,Edith Cook,516-301-6306,Pantry,747-749 Hendrix Street,Brooklyn,NY,11207,closed,closed,10:00 AM - 1:00 PM,closed,closed,closed,closed
Aids Center of Queens County,40.605147,-73.752177,Marie Joseph,718-868-8645,Pantry,1600 Central Avenue,Far Rockaway,NY,11691,closed,closed,closed,closed,10:30-12:00,closed,closed
Aids Center of Queens County,40.744651,-73.902186,Karen Perez,718-472-9400 x5722,Pantry,62-07 Woodside Avenue,Woodside,NY,11377,closed,10:00 AM - 12:00 PM,closed,10:00 AM - 12:00 PM,closed,closed,closed
Ridgewood Older Adult Center & Services,40.701145,-73.899838,Elena C. Costea,718-456-2000,Pantry,59-14 70th Avenue,Ridgewood,NY,11385,closed,closed,10:30-12:30,10:30-12:30,closed,closed,closed
St. Alban's Baptist Church,40.690824,-73.753918,Brother Hall,917-414-3953,Pantry,196-20 119th Avenue,St. Albans,NY,11412,closed,closed,closed,closed,10:00-11:00,10:00 AM - 12:00 PM,closed
Crossover Baptist Church Comm. Outreach Help Cntr.,40.68181,-73.853936,Lillian Hopkins,718-971-4953,Pantry,85-12 101st Avenue,Ozone Park,NY,11416,closed,closed,closed,closed,10:00 AM - 2:00PM,closed,closed
Isaiah's Temple of Mt. Hope,40.675705,-73.878185,Dr. Voni Johyn,917-929-2375,Pantry,862 Glenmore Avenue,Brooklyn,NY,11208,closed,02:00 PM - 04:00 PM,closed,02:00 PM - 04:00 PM,closed,closed,closed
Isaiah's Temple of Mt. Hope,40.675705,-73.878185,Dr. Voni Johyn,917-929-2375,Soup Kitchen,862 Glenmore Avenue,Brooklyn,NY,11208,closed,02:00 PM - 04:00 PM,closed,02:00 PM - 04:00 PM,closed,closed,closed
Elohim Community Development and Outreach Inc.,40.695662,-73.836315,Anthony Miranda,917-916-3066,Pantry,87-47 111th Street,Richmond Hill,NY,11418,closed,closed,closed,07:00 AM - 07:00 PM,7:00 AM - 12:00 PM,closed,closed
Mt. Olivet Baptist Church Community Meals Program,40.804818,-73.947964,Anthony Nelson,212-864-1155,Pantry,201 Lenox Avenue,New York,NY,10027,closed,10:30 AM - 11:30 AM,10:30 AM - 11:30 AM,closed,closed,closed,closed
Triumphant Full Gospel Assembly,40.66078,-73.929901,Lilia Bayne,718-774-4696; 917-567-2652,Pantry,889 Rutland Road,Brooklyn,NY,11203,closed,closed,closed,03:00 PM - 05:00 PM,closed,closed,closed
"The Harding Ford Vision, Inc.",40.698222,-73.797111,Laneda Mondesir,347-661-7382,Soup Kitchen,157-22 Tuskegee Airmen Way,Jamaica,NY,11433,closed,closed,10:00 AM - 12:00 PM,closed,closed,closed,closed
Macedonia Church Assembly of God,40.789802,-73.940875,Carmen Medina,646-500-3910,Pantry,340 East 106th Street,New York,NY,10029,closed,closed,closed,closed,9:00AM-10:30AM,closed,closed
Missionary Church of Christ,40.826182,-73.915654,Maria Gonzalez,718-588-4545 / 718-401-7015,Pantry,937 Teller Avenue,Bronx,NY,10451,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
Park Slope Christian Help Inc. (CHIPS),40.678286,-73.982713,Denise Scaravella/ Brother Tom,718-237-2962,Pantry,200 4th Avenue,Brooklyn,NY,11217,11:00AM-1:00PM,11:00AM-1:00PM,11:00AM-1:00PM,11:00AM-1:00PM,11:00AM-1:00PM,11:00AM-1:00PM,closed
Our Lady of Good Counsel Church,40.631305,-74.086032,Delores,718-727-5934; 917-678-5013,Pantry,42 Austin Place,Staten Island,NY,10304,closed,closed,closed,closed,closed,9:00 AM - 11:00 AM,closed
Aids Center of Queens County,40.704394,-73.797905,Kathy Marie,718-896-2500; 347-574-5554 (Kathy Cell),Pantry,161-21 Jamaica Avenue,Jamaica,NY,11432,closed,9:00am-10:30am,closed,9:00-10:30am,closed,closed,closed
Las Maravillas Del Exodo,40.675848,-73.884051,Hector Lozada,347-242-6337,Pantry,302 Elton Street,Brooklyn,NY,11208,closed,closed,11:00 AM - 12:00 PM,closed,closed,closed,closed
Blanche Memorial Church,40.690057,-73.797054,Stella Hill,718-264-7121,Pantry,109-74 Sutphin Boulevard,Jamaica,NY,11435,closed,9:30 AM - 10:30 AM,closed,closed,closed,closed,closed
First United Christian Church,40.637651,-74.08022,Rev. Belinda Curtis,347-465-4552,Pantry,109 Victory Blvd,Staten Island,NY,10301,closed,10:00 AM - 01:30 PM,closed,closed,closed,closed,closed
"The Harding Ford Vision, Inc.",40.698222,-73.797111,Laneda Mondesir,347-661-7382,Pantry,157-22 Tuskegee Airmen Way,Jamaica,NY,11433,closed,closed,10:00 AM - 12:00 PM,closed,closed,02:00 PM - 04:00 PM,closed
Church of God Inc.,40.660224,-73.926075,Duvil Beaujour,718-826-0685; 347-645-0724,Pantry,1011 Winthrop Street,Brooklyn,NY,11212,closed,closed,closed,closed,closed,12:00 PM - 01:00 PM,closed
Bensonhurst Council Jewish Org.,40.602596,-73.996503,Rena Mikhaylova,718-333-1834 x7303,Pantry,8635 21st Avenue,Brooklyn,NY,11214,closed,10:00 AM - 04:00 PM,closed,closed,closed,closed,closed
Christina Home Care Food Pantry,40.686943,-73.822713,Christine Persaud /Pooran,917-592-8686; 347-553-4688 (cell),Pantry,120-13 Liberty Ave,Jamaica,NY,11419,closed,closed,closed,closed,12:30 PM - 05:00 PM,closed,closed
New Hope Pentecostal Church of Jesus Christ,40.671475,-73.916426,Keisha Zimmerman-Lomax,646-626-1827,Pantry,1838 Park Place,Brooklyn,NY,11233,closed,closed,closed,closed,closed,10:00 AM - 12:00 PM,closed
Jamaica Queens Wesleyan Church,40.675304,-73.742796,Myrna Callender,347-949-3816,Pantry,134-49 228th Street,Laurelton,NY,11413,-,-,-,-,-,12:00 PM - 2:00 PM,-
Blessed Sacrament Church,40.683673,-73.874455,Celeste Guitierrez,718-827-1200,Pantry,198 Euclid Avenue,Brooklyn,NY,11208,closed,closed,9:30 AM - 11:00 AM,closed,closed,closed,closed
"Cienfuegos Foundation, Inc.",40.766683,-73.930116,Bethania Perkins,646-808-4361,Pantry,3117 21st Street,Long Island City,NY,11106,closed,11:00-1:00,11:00-1:00,closed,11:00-1:00,closed,closed
Morris Brown AME Church,40.673796,-73.793414,Ruth Roseborough,646-725-3106; 718-322-7596; 347-224-3988,Pantry,145-03 Rockaway Blvd,Jamaica,NY,11436,closed,closed,10:00 AM - 12:00 PM,closed,closed,closed,closed
Macedonia AME Church,40.699318,-73.793445,Lilly Brown,718-705-2295,Pantry,106-16 Guy R. Brewer Blvd.,Jamaica,NY,11433,12:00PM- 3:00PM,10:00AM-12:00PM,closed,closed,closed,closed,closed
First Church of God,40.606991,-73.753947,Deacon Greene,347-260-8186,Pantry,21-23 Birdsall Avenue,Far Rockaway,NY,11691,closed,closed,closed,closed,closed,10:00-1:00,closed
St. Margaret Mary Church,40.773693,-73.93053,Denise Dollard,718-721-9020,Pantry,9-18 27th Avenue,Astoria,NY,11102,closed,11:00 AM - 01:00 PM,closed,11:00 AM - 01:00 PM,closed,closed,closed
Allen Outreach Ministry Feeding Program,40.693148,-73.780664,Marjorie Sanders / Alice McCoy,718-526-3510,Soup Kitchen,111-54 Merrick Blvd,Jamaica,NY,11433,5:00PM-7:00PM,closed,closed,1:00-2:00,closed,closed,closed
